age,gender,branch,cgpa,tenth_percentage,twelfth_percentage,backlogs,attendance_percentage,internship_experience,dsa_level,coding_practice,projects_completed,aptitude_level,communication_level,mock_interviews,placement_status
24,Female,Other,8.29,74.12,95.67,1,98.55,No,Advanced,Regularly,6,Not Started,Good,16,Placed
21,Female,Mechanical,6.97,89.05,64.27,1,58.86,No,Intermediate,Occasionally,5,Basic,Weak,0,Not Placed
30,Male,Civil,8.26,81.48,54.42,1,86.1,Yes,Intermediate,Regularly,4,Basic,Average,1,Placed
28,Male,Civil,5.53,94.27,78.75,0,52.01,No,Intermediate,None,3,Basic,Good,6,Not Placed
25,Other,CSE,8.29,74.51,79.94,3,70.27,Yes,Intermediate,Regularly,3,Basic,Average,9,Placed
30,Female,IT,10.0,81.71,81.13,0,75.81,No,Intermediate,None,5,Not Started,Good,19,Placed
22,Other,CSE,5.24,82.78,62.84,0,79.03,Yes,Beginner,Occasionally,3,Good,Good,6,Not Placed
24,Male,ECE,9.89,81.03,50.73,0,96.8,No,Advanced,None,4,Good,Weak,15,Placed
27,Male,Other,7.03,85.92,96.32,0,83.61,Yes,Beginner,Occasionally,5,Not Started,Average,4,Not Placed
20,Male,AI-ML,9.35,65.45,62.04,1,74.06,Yes,Beginner,Occasionally,4,Good,Weak,11,Placed
24,Male,IT,8.91,77.54,82.45,1,90.48,No,Beginner,None,6,Not Started,Weak,16,Placed
28,Male,CSE,7.84,59.59,83.92,2,97.53,No,Beginner,Occasionally,8,Good,Average,15,Not Placed
28,Male,Mechanical,8.69,71.92,79.28,0,51.1,Yes,Beginner,Regularly,9,Basic,Weak,19,Placed
25,Male,IT,9.39,76.46,65.02,2,99.13,No,Intermediate,Occasionally,6,Basic,Good,15,Placed
22,Female,Other,7.02,83.7,63.01,1,54.31,No,Intermediate,None,6,Basic,Good,18,Not Placed
21,Other,IT,6.64,96.82,78.69,3,90.72,No,Advanced,Regularly,3,Not Started,Good,14,Not Placed
